hour_ending,cooling,poolpump,plugload,other,total
8059.0,0.0,754.1604,6801.42307521,15869.9871755,23425.5706507
8060.0,0.0,688.799832,7018.46649282,16376.4218166,24083.6881414
8061.0,0.0,553.05096,6710.98266993,15658.9595632,22922.9931931
8062.0,0.0,397.191144,6079.14921363,14184.6814985,20661.0218561
8063.0,0.0,276.52548,5188.8375321,12107.2875749,17572.650587
8064.0,0.0,306.691896,4155.53389377,9696.24575213,14158.4715419
8065.0,0.0,326.80284,3506.74443507,8182.40368183,12015.9509569
8066.0,0.0,251.3868,3122.64301164,7286.16702716,10660.1968388
8067.0,0.0,316.747368,2843.56399828,6634.98266266,9795.29402894
8068.0,0.0,361.996992,2714.03802426,6332.75538994,9408.7904062
8069.0,0.0,356.969256,2785.65074219,6499.85173178,9642.47172997
8070.0,0.0,477.63492,3132.33389319,7308.77908411,10918.7478973
8071.0,0.0,879.8538,3638.91439878,8490.80026382,13009.5684626
8072.0,0.0,1151.351544,3820.41811713,8914.30893997,13886.0786011
8073.0,0.0,1407.76608,3698.539932,8629.926508,13736.23252
8074.0,0.0,1935.67836,3449.09258592,8047.88270048,13432.6536464
8075.0,0.0,2332.869504,3316.33658148,7738.11869012,13387.3247756
8076.0,0.521603471649,2523.923472,3328.61965329,7766.77919101,13619.8439198
8077.0,41.7843894572,2347.952712,3630.42491613,8470.99147097,14491.1534886
8078.0,41.9017502383,2257.453464,3643.31516127,8501.06870963,14443.7390851
8079.0,41.7843894572,2041.260816,3781.96741113,8824.59062597,14689.6032426
8080.0,3.78910385779,1704.402504,4474.96489434,10441.5847535,16624.7412557
8081.0,3.90646463891,1417.821552,5215.63612437,12169.8176235,18807.1817645
8082.0,0.521603471649,990.463992,6274.90471893,14641.4443442,21907.3346586
8083.0,0.0,754.1604,6670.46351883,15564.4148773,22989.0387961
8084.0,0.0,688.799832,6857.37976842,16000.552793,23546.7323934
8085.0,0.0,553.05096,6524.25819447,15223.2691204,22300.5782749
8086.0,0.0,397.191144,6029.26379559,14068.2821897,20494.7371293
8087.0,0.0,276.52548,5023.89906495,11722.4311515,17022.8556965
8088.0,0.0,306.691896,4009.53193476,9355.57451444,13671.7983452
8089.0,0.0,326.80284,3384.75940764,7897.77195116,11609.3341988
8090.0,0.0,251.3868,3012.24859797,7028.58006193,10292.2154599
8091.0,0.0,316.747368,2638.75361273,6157.09176305,9112.59274378
8092.0,0.0,361.996992,2609.73742967,6089.38733589,9061.12175756
8093.0,0.0,356.969256,2681.35097318,6256.4856041,9294.80583328
8094.0,0.0,477.63492,3053.77053219,7125.46457511,10656.8700273
8095.0,0.0,879.8538,3661.04383146,8542.43560674,13083.3332382
8096.0,0.0,1151.351544,3726.97213068,8696.26830492,13574.5919796
8097.0,0.0,1407.76608,3565.01542557,8318.36932633,13291.1508319
8098.0,0.0,1935.67836,3159.25503357,7371.59507833,12466.5284719
8099.0,0.0,2332.869504,3223.35591669,7521.16380561,13077.3892263
8100.0,0.0,2523.923472,3060.50856474,7141.18665106,12725.6186878
8101.0,1.23590625534,2347.952712,3212.09167383,7494.88057227,13056.1608644
8102.0,7.33635606316,2257.453464,3047.12091048,7109.94879112,12421.8595217
8103.0,5.02501011313,2041.260816,3107.21982978,7250.17960282,12403.6852587
8104.0,3.78910385779,1704.402504,3604.13986737,8409.65969053,13721.9911658
8105.0,0.0,1417.821552,4445.92569987,10373.826633,16237.5738849
8106.0,0.0,990.463992,6178.43587677,14416.3503791,21585.2502479
8107.0,0.0,754.1604,6561.72452235,15310.6905522,22626.5754745
8108.0,0.0,688.799832,6634.06199523,15479.4779889,22802.3398161
8109.0,0.0,553.05096,6579.84943323,15352.9820109,22485.8824041
8110.0,0.0,397.191144,5998.21458615,13995.8340344,20391.2397645
8111.0,0.0,276.52548,5263.81516329,12282.235381,17822.5760243
8112.0,0.0,306.691896,4102.40833221,9572.28610849,13981.3863367
8113.0,0.0,326.80284,3416.50027857,7971.83398333,11715.1371019
8114.0,0.0,251.3868,3132.60460725,7309.41075025,10693.4021575
8115.0,0.0,316.747368,2818.258639,6575.93682434,9710.94283135
8116.0,0.0,361.996992,2806.1790088,6547.75102053,9715.92702133
8117.0,0.0,356.969256,2961.79377075,6910.85213175,10229.6151585
8118.0,0.0,477.63492,3284.20993503,7663.15651507,11425.0013701
8119.0,0.0,879.8538,3689.2413165,8608.2297385,13177.324855
8120.0,0.0,1151.351544,3733.82995113,8712.26988597,13597.4513811
8121.0,0.0,1407.76608,3501.94811073,8171.21225837,13080.9264491
8122.0,0.0,1935.67836,3357.03252567,7833.07589323,13125.7867789
8123.0,0.0,2332.869504,3017.82722181,7041.59685089,12392.2935767
8124.0,3.26750038614,2523.923472,3065.28750345,7152.33750805,12744.8159839
8125.0,41.7843894572,2347.952712,3205.49568663,7479.48993547,13074.7227236
8126.0,41.3700086697,2257.453464,3276.79376295,7645.85211355,13221.4693492
8127.0,84.6597384147,2041.260816,3429.54412851,8002.26963319,13557.7343161
8128.0,5.02501011313,1704.402504,3871.05404496,9032.45943824,14612.9409973
