hour_ending,cooling,poolpump,plugload,other,total
5054.0,706.494349186,7242.301752,6019.57517553,14045.6754096,28014.0466863
5055.0,718.644594869,6548.718288,6727.04659869,15696.4420636,29690.8515452
5056.0,718.74054651,5468.018472,7280.47870368,16987.7836419,30455.0213641
5057.0,626.487429162,4548.617136,8162.02071033,19044.7149908,32381.8402663
5058.0,534.202430118,3177.580056,9041.61243111,21097.0956726,33850.4905898
5059.0,369.119166235,2419.4772,9779.10907584,22817.921177,35385.626619
5060.0,344.199503201,2209.789176,10427.4972239,24330.8268558,37312.3127589
5061.0,271.637934362,1774.28328,12853.1650504,29990.718451,44889.8047158
5062.0,213.497543269,1274.257992,12751.3532267,29753.157529,43992.266291
5063.0,204.294988348,887.14164,11407.7510787,26618.0858503,39117.2735573
5064.0,245.503525235,983.920728,9620.15361249,22447.0250958,33296.6029615
5065.0,152.682317049,1048.44012,8292.40661805,19348.9487755,28842.4778305
5066.0,147.66081545,806.4924,7780.15403763,18153.6927545,26888.0000075
5067.0,176.536869268,1016.180424,7368.87961623,17194.0524379,25755.6493474
5068.0,136.920954292,1161.349056,7078.82118099,16517.2494223,24894.3406136
5069.0,134.778106592,1145.219208,7023.33344568,16387.7780399,24691.1088002
5070.0,133.80408491,1532.33556,7349.17741338,17148.0806312,26163.3976895
5071.0,133.265231422,2822.7234,6522.76392642,15219.782495,24698.5350528
5072.0,173.22519555,3693.735192,6059.25620583,14138.2644803,24064.4810736
5073.0,177.510890949,4516.35744,5801.7218994,13537.3510986,24032.9413289
5074.0,243.443065997,6209.99148,5231.69773632,12207.2947181,23892.4270004
5075.0,269.933549,7484.249472,4895.84744493,11423.6440382,24073.6745041
5076.0,390.723131294,8097.183696,4994.30188584,11653.371067,25135.5797801
5077.0,587.752011741,7532.639016,5468.63546505,12760.1494185,26349.1759112
5078.0,726.613082172,7242.301752,5906.62073082,13782.1150386,27657.6506036
5079.0,739.079864341,6548.718288,6490.65106353,15144.8524816,28923.3016974
5080.0,832.066357882,5468.018472,7242.49589541,16899.1570893,30441.7378146
5081.0,744.957423853,4548.617136,8154.31444125,19026.7336963,32474.6226974
5082.0,726.998137385,3177.580056,9348.22750092,21812.5308355,35065.3365298
5083.0,610.758388408,2419.4772,10058.0948232,23468.8879209,36557.2183325
5084.0,494.38527814,2209.789176,10461.8529851,24410.9902987,37577.0177379
5085.0,329.83304603,1774.28328,12595.1637876,29388.7155043,44087.9956179
5086.0,315.294871668,1274.257992,12277.8224173,28648.2523071,42515.6275881
5087.0,261.152268712,887.14164,11025.8893133,25727.0750645,37901.2582865
5088.0,252.423632501,983.920728,9454.83526248,22061.2822791,32752.4619021
5089.0,237.838220592,1048.44012,8293.47307827,19351.4371826,28931.1886015
5090.0,276.07061737,806.4924,7782.7832022,18159.8274718,27025.1736914
5091.0,280.867460851,1016.180424,7388.02595649,17238.7272318,25923.8010732
5092.0,233.75693242,1161.349056,7130.08168008,16636.8572535,25162.044922
5093.0,231.549149941,1145.219208,7096.14998202,16557.6832914,25030.6016313
5094.0,231.154217684,1532.33556,7230.54056781,16871.2613249,25865.2916704
5095.0,231.154217684,2822.7234,6647.72135385,15511.3498256,25212.9487972
5096.0,232.193174144,3693.735192,6032.11243554,14074.9290163,24032.9698179
5097.0,236.873801801,4516.35744,5630.59671141,13138.0589933,23521.8869465
5098.0,255.643807647,6209.99148,5219.89029456,12179.7440206,23865.2696028
5099.0,325.338838561,7484.249472,4877.32840392,11380.4329425,24067.349657
5100.0,396.838457671,8097.183696,4904.90422716,11444.77653,24843.7029109
5101.0,607.905642124,7532.639016,5373.32204691,12537.7514428,26051.6181478
5102.0,713.791242296,7242.301752,5680.78417365,13255.1630719,26892.0402398
5103.0,733.975862126,6548.718288,6177.73576971,14414.716796,27875.1467158
5104.0,816.177407696,5468.018472,7078.56603882,16516.6540906,29879.4160091
5105.0,619.293290378,4548.617136,8041.11144918,18762.5933814,31971.615257
5106.0,796.584540744,3177.580056,8864.43065277,20683.6715231,33522.2667726
5107.0,593.883069612,2419.4772,9284.8261128,21664.5942632,33962.7806456
5108.0,565.11816308,2209.789176,9772.64603424,22802.8407466,35350.3941199
5109.0,460.76780993,1774.28328,11811.5887279,27560.3736985,41607.0135164
5110.0,349.137565413,1274.257992,11598.5398257,27063.2595932,40285.1949763
5111.0,337.387560618,887.14164,10555.6413809,24629.8298889,36410.0004704
5112.0,295.901736358,983.920728,9240.64590135,21561.5071031,32081.9754689
5113.0,285.098013778,1048.44012,8200.76501316,19135.118364,28669.421511
5114.0,275.999603835,806.4924,7756.56007347,18098.6401714,26937.6922487
5115.0,276.945886049,1016.180424,7254.82991169,16927.9364606,25475.8926823
5116.0,274.830777817,1161.349056,6979.37864139,16285.2168299,24700.7753051
5117.0,271.713908436,1145.219208,6985.1389596,16298.6575724,24700.7296484
5118.0,271.648973657,1532.33556,6937.15061625,16186.6847712,24927.8199212
5119.0,271.713908436,2822.7234,6265.58428215,14619.6966583,23979.7182489
5120.0,271.713908436,3693.735192,6070.34798172,14164.1452907,24199.9423728
5121.0,275.999603835,4516.35744,6162.92563065,14380.1598049,25335.4424793
5122.0,431.941476138,6209.99148,5820.19835868,13580.4628369,26042.5941517
5123.0,646.737817998,7484.249472,5623.88072343,13122.3883547,26877.2563681
5124.0,762.967114072,8097.183696,5658.67446708,13203.5737565,27722.3990337
5125.0,891.332703152,7532.639016,5920.19690427,13813.7927766,28157.9614001
5126.0,905.480091638,7242.301752,5939.8815936,13859.7237184,27947.3871556
5127.0,939.164059801,6548.718288,6041.66945961,14097.2287391,27626.7805465
5128.0,927.981405626,5468.018472,6428.83464441,15000.6141703,27825.4486923
5129.0,922.627568756,4548.617136,7106.96271402,16582.9129994,29161.1204182
5130.0,816.325182046,3177.580056,7746.47227005,18075.1019635,29815.4794715
5131.0,710.781166126,2419.4772,8457.59943924,19734.3986916,31322.2564969
5132.0,589.254117617,2209.789176,9666.01261341,22554.0294313,35019.0853383
5133.0,375.792917421,1774.28328,10750.5252174,25084.5588406,37985.1602554
5134.0,360.566820879,1274.257992,10740.5658714,25061.3203665,37436.7110508
5135.0,449.773649683,887.14164,9952.49896263,23222.4975795,34511.9118318
5136.0,340.696968821,983.920728,8830.07622978,20603.5112028,30758.2051294
5137.0,327.530120252,1048.44012,7945.41148395,18539.2934626,27860.6751868
5138.0,324.583650457,806.4924,7420.74025992,17315.0606065,25866.8769169
5139.0,280.845418816,1016.180424,7093.15895322,16550.7042242,24940.8890202
5140.0,312.55722382,1161.349056,6817.19269635,15906.7829581,24197.8819343
5141.0,269.824439463,1145.219208,6843.26861775,15967.6267748,24225.93904
5142.0,308.271528421,1532.33556,6832.3261317,15942.0943073,24615.0275274
5143.0,308.271528421,2822.7234,5853.34041033,13657.7942908,22642.1296295
5144.0,309.245550103,3693.735192,5712.72241347,13329.6856314,23045.388787
5145.0,419.458499737,4516.35744,5821.58712006,13583.7032801,24341.1063399
5146.0,645.314705918,6209.99148,5905.07361609,13778.5051042,26538.8849062
5147.0,1221.92014805,7484.249472,5795.68448247,13523.2637924,28025.117895
5148.0,1356.65313294,8097.183696,6094.42193217,14220.3178417,29768.5766028
5149.0,1168.92758723,7532.639016,6494.09253522,15152.8825822,30348.5417206
5150.0,1181.01462282,7242.301752,6506.9734527,15182.9380563,30113.2278838
5151.0,1192.58305,6548.718288,6969.19532136,16261.4557498,30971.9524092
5152.0,1215.50523991,5468.018472,7342.97446623,17133.6070879,31160.105266
5153.0,1210.10337862,4548.617136,7835.5907721,18283.0451349,31877.3564216
5154.0,1400.65627276,3177.580056,8660.44022328,20207.6938543,33446.3704064
